Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
Why do uterine polyps happen?,"Uterine polyps occur when cells of the uterine lining (the endometrium) multiply too many times, leading to lumps. These lumps often resemble hanging sacs or mushrooms made of tissue. Most are very small, but can range in size from a few millimeters, to several centimeters in diameter. Polyps can be numerous or few, and some people might only have one. 

To give you some more information, some people are more likely than others to develop uterine polyps. They are most common in people who are perimenopausal and postmenopausal. If you are obese, you must also know that obesity also makes people significantly more likely to develop polyps. If you have taken the the breast cancer drug tamoxifen, this can be a contributing factor too.

",uterine polyps kyun hotay hain ?,"bacha daani/uterus ke polyps is waqt hotay hain jab bacha daani/uterus ke aster/lining ( endometrium ) ke khaliyaat kayi gina barh jatay hain, jis se ganthin banti hain. yeh ganthin aksar ladkhadte theliyon ya bafton se bani mashroom se mushabihat rakhti hain. ziyada tar bohat chhootey hain, lekin size mein chand mili meter se le kar kayi centi meter qutar tak ho satke hain. polyps mutadid ya kam ho saktay hain, aur kuch logon mein sirf aik ho sakta hai .
 
 aap ko kuch aur maloomat faraham karne ke liye, kuch logon ko uterine polyps ban'nay ka imkaan doosron ke muqablay mein ziyada hota hai. yeh un logon mein sab se ziyada aam hain jo peeri menopause aur post menopause hain. agar aap motapay ka shikaar hain to aap ko yeh bhi maloom hona chahiye ke motapay se logon mein polyps peda honay ka ziyada imkaan hota hai. agar aap ne chhaati ke cancer ki dawa tamoxifen li hai, to yeh bhi aik ahem Ansar ho sakta hai ."
Are uterine polyps and uterine fibroids similar or different?,"Uterine polyps are similar to a type of uterine fibroids (they form from muscle tissue in the uterus, but can cause many of the same symptoms, as well as other ones).  The biggest difference is that fibroids are more likely to be problematic in the reproductive years and shrink after menopause, while polyps are more likely to be problematic after menopause, so really depends on what phase you are in at the moment. ",kya uterine polyps aur uterine fibroids aik jaisay hain ya mukhtalif ?,"Uterine polyps ki aik qisam se mlitay jaltay hain ( woh bacha daani/uterus mein pathon ke tissue se bantay hain, lekin bohat si aik jaisi alamaat ka sabab ban satke hain, sath hi deegar alamaat ). sab se bara farq yeh hai ke toleedi saloon mein fibroids ka ziyada imkaan hota hai aur rajonoorti/menopause ke baad suker jatay hain, jabkay Polyps ke rajonoorti/menopause ke baad masail ka ziyada imkaan hota hai, is liye waqai is baat par munhasir hai ke aap is waqt kis marhalay mein hain ."
Do I need to get my uterine polyps checked out?,"Small uterine polyps are often asymptomatic, and can come and go on their own. Some untreated polyps, however, may cause symptoms that affect your quality of life and can lead to complications such as anemia (a condition when the body doesn’t have enough healthy red blood cells to function properly. This can happen when uterine polyps cause a high amount of blood loss).

In rare cases, some uterine polyps carry a small chance of becoming cancerous. They may also affect the ability to get or stay pregnant, but research on this topic is still lacking",kya mujhe apne uterine polyps ko check karwanay ki zaroorat hai ?,"bacha daani/uterus ke chhootey polyps aksar ghair allamti hotay hain, aur khud atay aur ja satke hain. taham, kuch ilaaj nah kiye jane walay polyps aisi alamaat ka sabab ban satke hain jo aap ke miyaar zindagi ko mutasir karte hain aur un ki wajah se paichidgiyan peda ho sakti hain jaisay ke khoon ki kami ( aisi haalat jab jism mein khoon ke surkh khaliye munasib tareeqay se kaam karne ke liye kaafi nahi hotay hain. khoon ki kami ki ziyada miqdaar ) .
 
 Shaz o nadir sooraton mein, baaz reham ke polyps mein cancer ban'nay ka bohat kam imkaan hota hai. woh haamla honay ya rehne ki salahiyat ko bhi mutasir kar satke hain, lekin is mauzo par tehqeeq ka abhi bhi fuqdaan hai ."
Oh I did not know that,Feel free to ask me any more questions you have.,oh mujhe yeh maloom nahi tha .,bulaa jhijhak mujh se aap ke koi aur sawalaat poucheen .
How will I be diagnosed if I have uterine polyps?,"When you go in for your polyp diagnosis, a healthcare provider will probably ask you questions about symptoms, medical and menstrual history and perform a simple physical exam. If they suspect you have uterine polyps, they may also perform a transvaginal ultrasound, a hysteroscopy (a small camera inserted into the uterus) or a biopsy (a small tool is inserted into the uterus to take a tissue sample)",agar mujhe uterine polyps hain to mein kaisay tashkhees karoon ga ?,"jab aap –apne polyps ki tashkhees ke liye jayen ge, to sehat ki dekh bhaal faraham karne wala aap se alamaat, tibbi aur mahvari ki tareekh ke baray mein sawalaat pouchye ga aur aik saada jismani muaina kere ga. agar inhen shuba hai ke aap ko bacha daani/uterus ke polyps hain, to woh transvaginal altrasaond, aik hysteroscopy ( bacha daani/uterus mein aik chhota camera dala gaya hai ) ya biopsy ( tissue ka namona lainay ke liye bacha daani/uterus mein aik chhota sa tool dala jata hai ) bhi kar satke hain ."
What can I do if I have been diagnosed with uterine polyps?,"Small uterine polyps can go away on their own without treatment. However, if you have an uterine polyp and belive it to be problematic, then there are a few different options treating existing polyps, and for preventing their future formation, including medications, non-invasive surgery and lifestyle changes
",agar mujhe uterine polyps ki tashkhees hui hai to mein kya kar sakta hon ?,"bacha daani/uterus ke chhootey polyps baghair ilaaj ke khud hi daur ho satke hain. taham, agar aap ko bacha daani/uterus ka polyp hai aur aap ke khayaal mein yeh masla hai, to mojooda polyps ke ilaaj ke liye, aur un ke mustaqbil mein ban'nay se roknay ke liye chand mukhtalif aapshnz hain, Bashmole adwiyaat, ghair hamla aawar surgery aur tarz zindagi mein tabdeelian ."
Can I use medication for uterine polyps?,"Yes. Hormonal medications are sometimes prescribed to treat the symptoms of uterine polyps. These include Gonadotropin Releasing Hormone (GnRH) agonists, which block the body’s production of certain hormones progesterone, and progesterone, often prescribed in the form of a cream. However, there has been little research on the effectiveness of these hormonal treatments for uterine polyps.",kya mein uterine polyps ke liye dawa istemaal kar sakta hon ?,"jee haan. baaz auqaat uterine polyps ki alamaat ke ilaaj ke liye hormonal duwaein tajweez ki jati hain. un mein Gonadotropin nikalnay wala hormone ( gnrh ) Agonists shaamil hain, jo jism mein baaz hormones progesterone, aur progesterone ki pedawar ko roktay hain, jo aksar kareem ki shakal mein tajweez kiye jatay hain. taham, uterine polyps ke liye un hormonal ilaaj ki taseer par bohat kam tehqeeq hui hai ."
Do I need a surgery if I have been diagnosed with uterine polyps?,Small polyps can be removed with a process called hysteroscopic excision. Research says about 7 in 10 people with small polyps (<1cm) found their symptoms significantly improved after this procedure. Please ask your healthcare provider if you require it or not,agar mujhe uterine polyps ki tashkhees hui hai to kya mujhe surgery ki zaroorat hai ?,chhootey polypsko aik amal se hataya ja sakta hai jisayhysteroscopic excision kehte hain. tehqeeq mein bataya gaya hai ke chhootey polyps( <1cm ) walay 10 mein se 7 afraad ne is tareeqa car ke baad un ki alamaat mein numaya behtari payi. barah karam –apne health care faraham karne walay se poucheen ke kya aap ko is ki zaroorat hai ya nahi .
Any connection between lifestyle changes and uterine polyps?,"Research on this is still unclear, but weight loss may improve the prognosis of people who are diagnosed with both uterine polyps and obesity",tarz zindagi mein tabdeeli aur uterine polyps ke darmiyan koi talluq ?,"is par tehqeeq abhi tak wazeh nahi hai, lekin wazan mein kami un logon ki tashkhees ko behtar bana sakti hai jin ki tashkhees uterine polyps aur motapay dono se hoti hai ."
"Great, thank you","Anytime, I'm always here for you","bohat acha, shukriya","kisi bhi waqt, mein hamesha aap ke liye haazir hon ."
I am worried,Do you know why you're worried?,mein pareshan hon,kya aap jantay hain ke aap kyun pareshan hain ?
I don't know answers to questions,What questions do you have for me?,mujhe sawalaat ke jawabaat nahi maloom,aap ke paas mere liye kya sawalaat hain ?
Will my son have a vagina like myself,"Alongside uterus and ovaries, men do not have a vagina. Instead, men have a penis (it is the male organ used for urination and sexual intercourse).",kya mere betay ki bhi meri terhan andaam nihani/vagina hogi ?,"bacha daani/uterus aur beza daani/ovary ke sath sath, mardon ki andaam nihani/vagina nahi hoti. is ke bajaye, mardon ke paas uzoo tanasul hota hai ( yeh mardana uzoo hai jo pishaab aur jinsi milaap ke liye istemaal hota hai ) ."
Do my husband get periods and can he give birth to a child?,"Anyone who has a uterus and ovaries could become pregnant and give birth. Since men do not have either of these, they cannot give birth to a man",kya mere shohar ko mahvari aati hai aur kya woh bachay ko janam day sakta hai ?,"jo bhi bacha daani/uterus aur beza daani/ovary rakhta hai woh haamla ho sakta hai aur bachay ko janam day sakta hai. chunkay mardon ke paas un mein se koi bhi nahi hai, is liye woh mard ko janam nahi day satke"
"My vagina has an odor, is that normal?","Yes, it is absolutely fine to have an odor. No vagina is odorless, nor should they be. Vaginas have many possible smells, from coppery to sweet. The smell of your vagina might change depending on your diet and menstrual cycle.

If the smell is pungent and unpleasant, contact a doctor or other healthcare provider. Certain conditions, such as bacterial vaginosis, can cause your vagina to smell strongly. Your provider can advise you on any next steps.","meri andaam nihani/vagina se badboo aati hai, kya yeh aam hai ?","haan, badboo aana bilkul theek hai. koi andaam nihani/vagina bo ke baghair nahi hai, aur nah hi woh hona chahiye. andaam nihani/vagina mein tanbay se le kar meethi tak bohat si mumkina bo hoti hai. aap ki andaam nihani/vagina ki bo aap ki khoraak aur mahvari ke lehaaz se badal sakti hai .
 
 agar bo taiz aur nagawaar hai, to dr ya deegar tibbi nighdasht faraham karne walay se rabita karen. baaz halaat, jaisa ke bacterial viogosis, aap ki andaam nihani/vagina se sakht bo aa sakti hai. aap ka faraham kanandah aap ko aglay iqdamaat ke baray mein mahswara day sakta hai ."
I think that answers my questions,"I am glad I was able to help you. Remember, if you know someone around you who might need to talk to me, always tell them that they can share anything with Mai ",mujhe lagta hai ke yeh mere sawalaat ka jawab deta hai .,"mujhe khushi hai ke mein aap ki madad karne ke qabil tha. yaad rakhen, agar aap –apne aas paas kisi aisay shakhs ko jantay hain jis ko mujh se baat karne ki zaroorat prhskti hai, to inhen hamesha bitayen ke woh maai ke sath kuch bhi share kar saktay hain ."
Okay,Is there anything else I can help you with?,theek hai,kya koi aur cheez hai jis mein mein aap ki madad kar sakta hon ?
"No, bye","Take care, bye","nahi, ’alvidah’",apna khayaal rakhna
